STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,4XL, $	18.58
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,S-XL, $	14.87
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,2XL, $	17.56
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,3XL, $	17.56
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,4XL, $	18.58
5001,Flexfit®, 6-Panel Structured Mid-Profile Cap,COLORS,S/M-L/XL, $	6.72
5001,Flexfit®, 6-Panel Structured Mid-Profile Cap,WHITE,S/M-L/XL, $	6.72
5020,DRI-DUCK, DRI DUCK Cheyenne Jacket,ALL,S-XL, $	44.51
5020,DRI-DUCK, DRI DUCK Cheyenne Jacket,ALL,2XL, $	46.51
5020,DRI-DUCK, DRI DUCK Cheyenne Jacket,ALL,3XL, $	48.51
5020,DRI-DUCK, DRI DUCK Cheyenne Jacket,ALL,4XL, $	50.51
5089,DRI-DUCK, DRI DUCK Horizon Jacket,ALL,S-XL, $	42.64
5089,DRI-DUCK, DRI DUCK Horizon Jacket,ALL,2XL, $	44.70
5089,DRI-DUCK, DRI DUCK Horizon Jacket,ALL,3XL, $	46.75
5089,DRI-DUCK, DRI DUCK Horizon Jacket,ALL,4XL, $	48.81
5336,AMERICAN APPAREL,Ladies' American Apparel California Fleece Cropped Sweatshirt,COLORS,ONE SIZE, $	12.31
5336,AMERICAN APPAREL,Ladies' American Apparel California Fleece Cropped Sweatshirt,WHITE,ONE SIZE, $	11.55
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,COLORS,S-XL, $	19.09
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,COLORS,2XL, $	20.22
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,WHITE,S-XL, $	17.96
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,WHITE,2XL, $	19.09
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,COLORS,XS-XL, $	14.51
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,COLORS,2XL, $	15.64
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,WHITE,XS-XL, $	13.38
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,WHITE,2XL, $	14.51
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,COLORS,XS-XL, $	16.03
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,COLORS,2XL, $	17.16
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,WHITE,XS-XL, $	14.89
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,WHITE,2XL, $	16.03
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,COLORS,S-XL, $	19.65
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,COLORS,2XL, $	20.79
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,WHITE,S-XL, $	18.52
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,WHITE,2XL, $	19.65
6004,COLOR IMAGE APPAREL - BELLA,Ladies' The Favorite T-Shirt,ALL,S-XL, $	7.85
6004,COLOR IMAGE APPAREL - BELLA,Ladies' The Favorite T-Shirt,ALL,2XL, $	10.00
6089,YUPOONG, Yupoong 6-Panel Structured Flat Visor Classic Snapback,ALL,ONE SIZE, $	5.26
6210,FLEXFIT,Premium 210 Fitted Cap,ALL,S/M-L/XL, $	6.43
6277,Flexfit®, Wooly 6-Panel Cap,ALL,S/M-L/XL, $	7.07
6377,FLEXFIT,Brushed Twill Cap,ALL,S/M-L/XL, $	5.68
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,COLORS,S-XL, $	9.57
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	11.71
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,WHITE,S-XL, $	9.57
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	11.71
6456,American Apparel,Unisex Sheer Jersey Short-Sleeve Deep V-Neck,COLORS,XXS-XL, $	9.05
6456,American Apparel,Unisex Sheer Jersey Short-Sleeve Deep V-Neck,NEUTRALS,XXS-XL, $	8.06
6477,Flexfit®, Wooly Blend 6-Panel Cap,ALL,S/M-L/XL, $	7.92
6511,Flexfit®, 6-Panel Trucker Cap,ALL,ONE SIZE, $	5.60
6777,Flexfit®, Athletic Mesh Cap,ALL,ONE SIZE, $	6.72
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,S-XL, $	36.99
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,2XL, $	39.04
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,3XL, $	41.10
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,4XL, $	43.15
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,COLORS,S-XL, $	23.79
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,COLORS,2XL, $	29.37
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,TRIBLENDS,S-XL, $	29.39
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,TRIBLENDS,2XL, $	34.97
8430,COLOR IMAGE APPAREL - BELLA,Ladies' Triblend Racerback Tank,TRIBLENDS,S-XL, $	6.97
8430,COLOR IMAGE APPAREL - BELLA,Ladies' Triblend Racerback Tank,TRIBLENDS,2XL, $	11.50
8435,COLOR IMAGE APPAREL - BELLA,Ladies' Triblend Short-Sleeve Deep V-Neck T-Shirt,TRIBLENDS,S-XL, $	8.26
8435,COLOR IMAGE APPAREL - BELLA,Ladies' Triblend Short-Sleeve Deep V-Neck T-Shirt,TRIBLENDS,2XL, $	11.05
8587,MARMOT MOUNTAIN,Ladies' Levity Jacket,ALL,XS-XL, $	74.20
8770,BELLA + CANVAS,Ladies' BELLA + CANVAS Sheer Mini Rib Racerback Tank,ALL,S-XL, $	11.65
8770,BELLA + CANVAS,Ladies' BELLA + CANVAS Sheer Mini Rib Racerback Tank,ALL,2XL, $	14.44
8816,BELLA + CANVAS,Ladies' BELLA + CANVAS Slouchy T-Shirt,COLORS,S-XL, $	12.38
